a-	ell
ab-	lat
ad-	lat
aero-	lat,ell
agro-	ell
ana-	ell
ante-	lat
anti-	ell
antropo-	ell
apo-	ell
arci-	lat,ell
archi-	ell
astro-	ell
audio-	deu,fra,lat
auto-	fra,lat
-ball	eng
bi-	lat
bio-	ell
-bízet	ces
-břednout	ces
centi-	fra,lat
-cet	ces
cyto-	lat,ell
-č	ces
čaro-	ces
-čít	ces
de-	lat
deci-	fra,lat
-desát	ces
di-	ell
dia-	ell
dis-	lat
-dolat	ces
-drom	ell
dů-	ces
dys-	ell
elektro-	ell
en-	ell
endo-	ell
epi-	ell
etno-	ell
eu-	ell
ex-	lat,ell
exo-	ell
farmako-	ell
fero-	lat
-ace	lat
-fikace	lat
-fil	ell
-fon	ell
foto-	ell
fyto-	ell
geo-	ell
-graf	ell
-grafie	ell
grafo-	ell
-gram	ell
hemo-	ell
hepta-	ell
hetero-	ell
hexa-	ell
homo-	ell
hydro-	ell
hyper-	ell
hypo-	ell
-cházet	ces
-chvátit	ces
idio-	ell
in-	lat
in-	lat
un-	lat
in-	lat
infra-	lat
inter-	lat
intro-	lat
-iz	fra,lat,ell
izo-	ell
-jem	ces
kardio-	ell
kata-	ell
kilo-	ell
ko-	lat
-koli	ces
com-	lat
kom-	lat
kosmo-	ell
koso-	ces
-kotit	ces
-krát	ces
-krojit	ces
-kud	ces
-kusit	ces
kvazi-	lat
lec-	ces
-levit	ces
-lezec	ces
-lezecký	ces
-lezectví	ces
-li	ces
-log	ell
-logie	ell
-ložit	ces
makro-	ell
maxi-	lat
mega-	ell
meta-	ell
-metr	ell
mikro-	ell
mili-	fra,lat
mini-	lat
-mírat	ces
-mítat	ces
-mknout	ces
mono-	ell
monstr-	fra
moto-	deu,lat
multi-	lat
-ň	ces
-náct	ces
-násob	ces
-násobný	ces
ně-	ces
nej-	ces
nekro-	ell
neo-	ell
neuro-	ell
-nikat	ces
nitro-	deu,lat,ell,egy
-nom	ell
-nomie	ell
non-	lat
ob-	ces
-oid	eng,ell
oro-	ell
orto-	ell
osteo-	ell
pa-	ces
pá-	ces
paleo-	ell
pan-	ell
panto-	ell
para-	ell
penta-	ell
per-	lat
peri-	ell
-pláchnout	ces
-plán	lat,ell
-plývat	ces
poly-	ell
-pomenout	ces
-pomínat	ces
post-	lat
pra-	ces
-pravit	ces
pre-	lat
pro-	lat
proto-	ell
-přáhnout	ces
prze-	ces
pere-	ces
pře-	ces
pseudo-	ell,ine
psycho-	ell
pyro-	ell
radio-	deu,eng,lat
re-	lat
retro-	lat
roz-	ces
raz-	ces
-sáknout	ces
se-	lat
-si	ces
-sílat	ces
-skop	ell
-slat	ces
sou-	ces
-souvat	ces
steno-	ell
stereo-	ell
-stoupit	ces
-střít	ces
sub-	lat
super-	lat
syn-	ell
tele-	ell
teo-	ell
termo-	ell
tetra-	ell
-tírat	ces
-tkat	ces
top-	eng
trans-	lat
tri-	lat,ell
ú-	ces
ultra-	lat,ine
uni-	lat
-vádět	ces
-věk	ces
vele-	ces
-věsit	ces
vice-	lat
-voj	ces
-vozovat	ces
-vřít	ces
wy-	ces
vy-	ces
-vykat	ces
vz-	ces
-ž	ces
-ator	lat
-or	lat
-al	lat
-ál	lat
-ac	lat
-ace	lat
