Třikrát rychlejší než slovo
    Třikrát
        Tř	R	ces
        i	D	ces
        krát	D	ces
    rychlejší
        rychl	R	ces
        ejš	D	ces
        í	I	ces
    než
        než	R	ces
    slovo
        slov	R	ces
        o	I	ces

Faxu škodí především přetížené telefonní linky
    Faxu
        Fax	R	eng,lat
        u	I	ces
    škodí
        škod	R	gmh
        í	I	ces
    především
        přede	D	ces
        vš	R	ces
        í	I	ces
        m	I	ces
    přetížené
        pře	D	ces
        tíž	R	ces
        en	D	ces
        é	I	ces
    telefonní
        tele	R	ell
        fon	R	ell
        n	D	ces
        í	I	ces
    linky
        lin	R	deu,lat
        k	D	ces
        y	I	ces

Pomocí může být systém ECM
    Pomocí
        Po	D	ces
        moc	R	ces
        í	I	ces
    může
        můž	R	ces
        e	I	ces
    být
        bý	R	ces
        t	I	ces
    systém
        systém	R	deu,lat,ell
    ECM
        E	R	eng
        C	D	eng
        M	D	eng

Šetřete peníze netelefonujte faxujte
    Šetřete
        Šetř	R	ces
        e	D	ces
        te	I	ces
    peníze
        peníz	R	deu,lat
        e	I	ces
    netelefonujte
        ne	D	ces
        tele	R	ell
        fon	R	ell
        uj	D	ces
        te	D	ces
    faxujte
        fax	R	eng,lat
        uj	D	ces
        te	I	ces

Je tento reklamní slogan pravdivý
    Je
        Je	R	ces
    tento
        t	R	ces
        en	D	ces
        t	R	ces
        o	I	ces
    reklamní
        reklam	R	deu,fra,lat
        n	D	ces
        í	I	ces
    slogan
        slogan	R	eng
    pravdivý
        prav	R	ces
        d	D	ces
        iv	D	ces
        ý	I	ces

Hlasité přečtení dobře čitelného textu na stránce A 4 při řádkování trvá zhruba 3 minuty
    Hlasité
        Hlas	R	ces
        it	D	ces
        é	I	ces
    přečtení
        pře	D	ces
        čt	R	ces
        en	D	ces
        í	I	ces
    dobře
        dobř	R	ces
        e	I	ces
    čitelného
        čit	R	ces
        eln	D	ces
        ého	I	ces
    textu
        text	R	lat
        u	I	ces
    na
        na	D	ces
    stránce
        strán	R	ces
        c	D	ces
        e	I	ces
    A
        A	R	eng
    4
        4	R	
    při
        při	D	ces
    řádkování
        řád	R	ces
        k	D	ces
        ová	R	ces
        n	D	ces
        í	I	ces
    trvá
        trv	R	ces
        á	I	ces
    zhruba
        z	D	ces
        hrub	R	ces
        a	I	ces
    3
        3	R	
    minuty
        minut	R	deu,lat
        y	I	ces

Podle prospektů se faxem přenese normalizovaný obsah jedné stránky A 4 za 10 až 30 sekund
    Podle
        Po	D	ces
        dle	R	ces
    prospektů
        pro	D	deu,lat
        spekt	R	deu,lat
        ů	I	ces
    se
        s	D	ces
        e	D	ces
    faxem
        fax	R	eng,lat
        em	I	ces
    přenese
        pře	D	ces
        nes	R	ces
        e	D	ces
    normalizovaný
        norm	R	lat
        al	D	lat
        iz	D	fra,lat,ell
        ova	D	ces
        n	D	ces
        ý	I	ces
    obsah
        ob	D	ces
        sah	R	ces
    jedné
        jedn	R	ces
        é	I	ces
    stránky
        strán	R	ces
        k	D	ces
        y	I	ces
    A
        A	R	eng
    4
        4	R	
    za
        za	D	ces
    10
        10	R	
    až
        až	D	
    30
        30	R	
    sekund
        sekund	R	deu,lat

Ve skutečnosti to sice trvá zhruba minutu protože doba přenosu více závisí na stavu telefonní linky než na rychlosti přístroje ale i tak je přenos informace faxem zhruba třikrát rychlejší než řeč
    Ve
        Ve	R	ces
    skutečnosti
        skuteč	R	ces
        n	D	ces
        ost	D	ces
        i	I	ces
    to
        t	R	ces
        o	I	ces
    sice
        sice	R	ces
    trvá
        trv	R	ces
        á	I	ces
    zhruba
        z	D	ces
        hrub	R	ces
        a	I	ces
    minutu
        minut	R	deu,lat
        u	I	ces
    protože
        pro	D	ces
        t	R	ces
        o	D	ces
